500 996
0 1 2008
1 0 2008
2 3 395
3 2 395
4 5 1935
5 4 1935
6 7 3828
7 6 3828
8 9 4182
9 8 4182
8 10 3500
10 8 3500
0 11 2105
11 0 2105
1 12 1478
12 1 1478
13 14 3427
14 13 3427
15 16 4148
16 15 4148
17 18 2529
18 17 2529
19 20 3065
20 19 3065
19 21 3163
21 19 3163
22 23 6768
23 22 6768
24 25 1300
25 24 1300
26 27 1957
27 26 1957
28 29 1295
29 28 1295
30 31 8530
31 30 8530
32 33 4986
33 32 4986
32 34 843
34 32 843
35 36 908
36 35 908
37 38 2545
38 37 2545
39 40 980
40 39 980
28 41 2686
41 28 2686
42 43 1425
43 42 1425
43 44 4410
44 43 4410
45 46 2759
46 45 2759
1 47 1541
47 1 1541
48 49 3787
49 48 3787
48 50 2964
50 48 2964
51 52 5170
52 51 5170
53 54 1300
54 53 1300
55 56 1834
56 55 1834
57 58 1762
58 57 1762
59 60 1253
60 59 1253
61 62 6045
62 61 6045
63 64 2578
64 63 2578
65 57 1527
57 65 1527
66 67 8081
67 66 8081
67 59 793
59 67 793
59 68 4270
68 59 4270
69 70 883
70 69 883
68 69 1136
69 68 1136
71 72 10000
72 71 10000
73 74 1995
74 73 1995
73 75 3516
75 73 3516
76 77 1220
77 76 1220
76 78 2327
78 76 2327
77 79 10000
79 77 10000
77 80 3209
80 77 3209
81 82 922
82 81 922
81 83 4359
83 81 4359
84 85 10000
85 84 10000
85 86 10000
86 85 10000
87 88 410
88 87 410
89 90 1140
90 89 1140
90 87 2273
87 90 2273
91 92 330
92 91 330
90 91 1209
91 90 1209
93 94 357
94 93 357
95 96 5864
96 95 5864
97 98 7754
98 97 7754
99 100 7942
100 99 7942
101 102 10000
102 101 10000
103 104 2663
104 103 2663
105 106 10000
106 105 10000
107 108 5712
108 107 5712
109 108 10000
108 109 10000
108 105 9253
105 108 9253
110 105 2302
105 110 2302
111 109 7504
109 111 7504
112 113 279
113 112 279
114 112 3590
112 114 3590
115 116 10000
116 115 10000
117 118 2630
118 117 2630
117 115 6379
115 117 6379
119 117 9078
117 119 9078
120 121 4454
121 120 4454
122 119 3868
119 122 3868
122 123 5344
123 122 5344
124 122 8984
122 124 8984
125 126 2578
126 125 2578
125 127 5212
127 125 5212
124 125 5415
125 124 5415
128 124 1310
124 128 1310
129 128 10000
128 129 10000
129 130 10000
130 129 10000
130 131 3152
131 130 3152
132 133 7214
133 132 7214
130 133 10000
133 130 10000
134 135 1338
135 134 1338
133 134 2511
134 133 2511
134 136 4214
136 134 4214
137 138 8892
138 137 8892
137 139 6688
139 137 6688
138 140 1507
140 138 1507
138 141 6727
141 138 6727
142 143 4742
143 142 4742
142 144 1181
144 142 1181
139 145 10000
145 139 10000
139 142 1969
142 139 1969
146 147 5678
147 146 5678
146 148 8978
148 146 8978
145 149 1956
149 145 1956
145 150 1912
150 145 1912
151 152 5604
152 151 5604
153 146 4505
146 153 4505
153 154 2375
154 153 2375
155 156 4811
156 155 4811
155 157 3425
157 155 3425
158 155 4885
155 158 4885
158 159 3707
159 158 3707
160 161 10000
161 160 10000
151 160 6953
160 151 6953
160 162 7216
162 160 7216
163 164 4341
164 163 4341
165 166 9826
166 165 9826
167 168 3363
168 167 3363
169 165 6513
165 169 6513
170 165 2310
165 170 2310
170 171 8538
171 170 8538
172 173 4907
173 172 4907
111 174 10000
174 111 10000
166 111 10000
111 166 10000
174 166 6884
166 174 6884
175 174 10000
174 175 10000
171 176 9359
176 171 9359
177 170 10000
170 177 10000
178 179 2294
179 178 2294
180 172 4573
172 180 4573
181 180 1405
180 181 1405
181 182 5304
182 181 5304
183 181 10000
181 183 10000
182 184 2223
184 182 2223
172 178 10000
178 172 10000
178 185 9627
185 178 9627
175 186 10000
186 175 10000
187 188 2253
188 187 2253
187 189 1956
189 187 1956
190 191 9832
191 190 9832
190 175 3015
175 190 3015
192 190 6737
190 192 6737
193 192 1276
192 193 1276
194 193 1739
193 194 1739
195 196 8196
196 195 8196
197 194 4130
194 197 4130
194 198 10000
198 194 10000
192 199 7514
199 192 7514
199 200 982
200 199 982
180 201 8544
201 180 8544
202 203 10000
203 202 10000
201 195 8832
